Spec id,Ref alloc,Unsigned LLOD,ref1,ref2,LLOD (ref1 - ref2),ref1,ref2,Sum likelihoods,ref1,ref2
Pop_1_BaseInd_12,ref1,6.201205794,-18.76434105,-24.96554684,6.201205794,1.720517E-19,1.082563E-25,1.72052E-19,0.99999937,0.00000063
Pop_1_BaseInd_18,ref1,5.934180841,-20.39771932,-26.33190016,5.934180841,4.002033E-21,4.656931E-27,4.00204E-21,0.99999884,0.00000116
Pop_1_BaseInd_19,ref1,10.1609648,-18.6847749,-28.84573969,10.1609648,2.066451E-19,1.426462E-29,2.06645E-19,1.00000000,0.00000000
Pop_1_BaseInd_28,ref1,6.634255544,-20.42375786,-27.0580134,6.634255544,3.769139E-21,8.749568E-28,3.76914E-21,0.99999977,0.00000023
Pop_1_BaseInd_47,ref1,3.337135137,-21.34475943,-24.68189457,3.337135137,4.521063E-22,2.080202E-25,4.52314E-22,0.99954010,0.00045990
Pop_1_BaseInd_62,ref1,7.544759881,-20.75932113,-28.30408101,7.544759881,1.740519E-21,4.964997E-29,1.74052E-21,0.99999997,0.00000003
Pop_1_BaseInd_96,ref1,6.440225525,-20.16595224,-26.60617777,6.440225525,6.824137E-21,2.476408E-27,6.82414E-21,0.99999964,0.00000036
Pop_1_BaseInd_97,ref2,3.599857751,-22.57432395,-18.9744662,-3.599857751,2.664870E-23,1.060556E-19,1.06082E-19,0.00025121,0.99974879
Pop_1_BaseInd_102,ref1,5.057110507,-19.20268265,-24.25979316,5.057110507,6.270719E-20,5.498027E-25,6.27077E-20,0.99999123,0.00000877
Pop_1_BaseInd_109,ref2,1.867153634,-23.07045736,-21.20330373,-1.867153634,8.502422E-24,6.261758E-22,6.34678E-22,0.01339643,0.98660357
Pop_1_BaseInd_137,ref1,3.43585657,-22.53985233,-25.9757089,3.43585657,2.885012E-23,1.057526E-26,2.88607E-23,0.99963358,0.00036642
Pop_1_BaseInd_174,ref1,4.076101638,-20.8151473,-24.89124894,4.076101638,1.530568E-21,1.284550E-25,1.5307E-21,0.99991608,0.00008392
Pop_1_BaseInd_179,ref1,4.903113177,-20.29007604,-25.19318922,4.903113177,5.127716E-21,6.409303E-26,5.12778E-21,0.99998750,0.00001250
Pop_1_BaseInd_194,ref2,4.076987445,-23.95512563,-19.87813818,-4.076987445,1.108854E-24,1.323920E-20,1.32403E-20,0.00008375,0.99991625
Pop_1_BaseInd_229,ref1,6.626172155,-19.92537697,-26.55154912,6.626172155,1.187471E-20,2.808348E-27,1.18747E-20,0.99999976,0.00000024
Pop_1_BaseInd_255,ref1,5.44791051,-20.86738502,-26.31529553,5.44791051,1.357110E-21,4.838430E-27,1.35711E-21,0.99999643,0.00000357
Pop_1_BaseInd_279,ref1,3.214492597,-20.74852503,-23.96301762,3.214492597,1.784329E-21,1.088886E-24,1.78542E-21,0.99939012,0.00060988
Pop_1_BaseInd_303,ref2,2.671167477,-22.10868279,-19.43751532,-2.671167477,7.786050E-23,3.651612E-20,3.6594E-20,0.00212769,0.99787231
Pop_1_BaseInd_312,ref1,5.263500543,-19.86611701,-25.12961755,5.263500543,1.361078E-20,7.419633E-26,1.36109E-20,0.99999455,0.00000545
Pop_1_BaseInd_318,ref2,4.149441617,-24.3352219,-20.18578028,-4.149441617,4.621448E-25,6.519582E-21,6.52004E-21,0.00007088,0.99992912
Pop_1_BaseInd_328,ref1,4.653085203,-21.40897031,-26.06205551,4.653085203,3.899686E-22,8.668511E-27,3.89977E-22,0.99997777,0.00002223
Pop_1_BaseInd_330,ref1,5.023788372,-21.05128672,-26.07507509,5.023788372,8.886143E-22,8.412497E-27,8.88623E-22,0.99999053,0.00000947
Pop_1_BaseInd_331,ref1,3.827344047,-23.13721624,-26.96456029,3.827344047,7.290944E-24,1.085025E-27,7.29203E-24,0.99985120,0.00014880
Pop_1_BaseInd_335,ref1,6.783532997,-21.29881559,-28.08234859,6.783532997,5.025559E-22,8.272779E-29,5.02556E-22,0.99999984,0.00000016
Pop_1_BaseInd_392,ref2,3.119737114,-23.50190316,-20.38216605,-3.119737114,3.148450E-24,4.147954E-21,4.1511E-21,0.00075846,0.99924154
Pop_1_BaseInd_401,ref2,3.058120734,-25.240205,-22.18208427,-3.058120734,5.751684E-26,6.575302E-23,6.58105E-23,0.00087398,0.99912602
Pop_1_BaseInd_410,ref1,3.67238712,-20.20085286,-23.87323998,3.67238712,6.297195E-21,1.338937E-24,6.29853E-21,0.99978742,0.00021258
Pop_1_BaseInd_475,ref1,4.143307593,-20.080713,-24.2240206,4.143307593,8.303993E-21,5.970070E-25,8.30459E-21,0.99992811,0.00007189
Pop_1_BaseInd_493,ref1,3.189003415,-20.36313327,-23.55213669,3.189003415,4.333779E-21,2.804551E-24,4.33658E-21,0.99935328,0.00064672
Pop_2_BaseInd_39,ref2,5.255490998,-25.58992996,-20.33443896,-5.255490998,2.570810E-26,4.629787E-21,4.62981E-21,0.00000555,0.99999445
Pop_2_BaseInd_43,ref2,6.407132687,-24.75407239,-18.3469397,-6.407132687,1.761682E-25,4.498423E-19,4.49842E-19,0.00000039,0.99999961
Pop_2_BaseInd_63,ref2,5.166335966,-23.27922262,-18.11288666,-5.166335966,5.257477E-24,7.711047E-19,7.7111E-19,0.00000682,0.99999318
Pop_2_BaseInd_80,ref2,5.149244472,-25.11614073,-19.96689626,-5.149244472,7.653486E-26,1.079204E-20,1.07921E-20,0.00000709,0.99999291
Pop_2_BaseInd_90,ref2,2.408952743,-23.41272429,-21.00377155,-2.408952743,3.866123E-24,9.913533E-22,9.95219E-22,0.00388469,0.99611531
Pop_2_BaseInd_133,ref2,6.879279942,-25.56484456,-18.68556462,-6.879279942,2.723676E-26,2.062697E-19,2.0627E-19,0.00000013,0.99999987
